# Magic Lantern Simplified Chinese translation.
# Exact display string|translation
About Magic Lantern|关于 Magic Lantern
Advanced Bracket|高级包围拍摄
Advanced settings|高级设置
Advanced...|高级设置…
AF/MF warning|自动/手动对焦警告
ALO warning|自动亮度优化警告
Allowed actions|允许的操作
Always|始终
Always On|始终开启
Anamorphic|变形宽银幕
Aperture|光圈
Audio|音频
Audio Gain|音频增益
Audio Meters|音频电平表
Audio meters|音频电平表
Audio RemoteShot|声音遥控拍摄
Auto|自动
Auto exposure|自动曝光
Auto exposure on Zoom|变焦时自动曝光
Auto Mirroring|自动镜像
Auto-restart movie recording, if it happens to stop.|录像意外停止时自动重启。
Back to 'beginner' mode.|返回“新手”模式。
Banding detection|条带检测
Beep, test tones|蜂鸣与测试音
Benchmarks|性能测试
Bit Rate|比特率
Bitrate Info|比特率信息
Black Level|黑电平
Blue|蓝色
Boost when adjusting WB|调整白平衡时增强
Bottom-Left|左下
Bottom-Right|右下
Bracket focus|对焦包围
Bracket type|包围类型
Bright Gray|亮灰色
Bulb Timer|B 门定时器
Canon analog ISO|佳能模拟 ISO
Canon digital ISO|佳能数字 ISO
Card settings|存储卡设置
Cartoon Look|卡通效果
CBR factor|恒定码率系数
Center|中央
Center selection|选择中央点
Change H.264 bitrate. Be careful, recording may stop!|调整 H.264 比特率。注意：录像可能停止！
Changes FPS. Also disables sound and alters shutter speeds.|更改帧率，同时会禁用声音并改变快门速度。
Circle of Confusion|弥散圆
Clear overlays|清除叠加显示
Clip warning|过曝警告
Color|颜色
Color scheme|配色方案
Color Space|色彩空间
Color Tone|色调
Complete user guide|完整用户指南
Config AutoSave|自动保存配置
Config|配置
Config options|配置选项
Config preset|配置预设
Constant expo|恒定曝光
Context help|上下文帮助
Contrast|反差
Crop Factor Display|裁切系数显示
Cropmarks|裁切标记
Custom REC/STANDBY notifications, visual or audible|自定义录像/待机的视觉或声音提示
Customize Menus|自定义菜单
Cyan|青色
Dark|暗色
Dark Gray|深灰色
Dark Green|深绿色
Dark Red|深红色
Debug|调试
Default|默认
Defishing|鱼眼校正
Delay|延时
Delete config|删除配置
Desired FPS|目标帧率
Detect Size|检测区域
Diffraction|衍射
DigitalZoom Shortcut|数码变焦快捷键
Disable all modules|禁用所有模块
Disabled|已禁用
Display|显示
Display during exposure|曝光时显示
Display GUI events (button codes).|显示界面事件（按键代码）。
Display Shake|显示抖动
DOF formula|景深公式
DOF info in LiveView|实时取景中显示景深
DOF Settings|景深设置
Double Click|双击
Dual ISO|双 ISO
Duration between two shots.|两次拍摄之间的间隔。
Dynamic Range|动态范围
Edit mode|编辑模式
Edit values|编辑数值
Electronic level|电子水平仪
Enable Beeps|启用蜂鸣
Enable beep signal for misc events in ML.|为 ML 的各类事件启用蜂鸣提示。
